;level_0;index;path;id;tobias_answer_q1;tobias_answer_q2;samir_answer_q1;samir_answer_q2;jack_answer_q1;jack_answer_q2;tobias_tekstsvar;samir_tekstsvar;jack_tekstsvar
0;0;39;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0876.png;1;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];Dårlig visualisering af lungekarrene men god visualisering af skeletale strukturer særligt columna - synes det plejer at være omvendt for alm rtg;"Stærk ""Kontrast"" af skelettet og ganske svag kontrast af bløddelsstrukturer - tolkes således ikke som en under eller overeksponeret billede. Derfor mistanke om at den er generated. ";Missing proc. spinosi - could be due to rotation of the patient, but strange that its not visible at all mid thorax? also strange right side rib contours - could be from cold rib fractures, but could also be because of a generated image. 
1;1;41;ImagEng-DRR-CROPPED1.png;2;['Generated'];['None'];['Generated'];['None'];['Generated'];['Covid-19 lesions'];"som første case - og lungetegningen ligner at være overlejret/rekonstrueret med et ""blødt"" filter. jeg er lidt usikker på om der kunne være et skyet infiltrat i venstre overlap";"Samme som case 1, Stærk ""Kontrast"" af skelettet og ganske svag kontrast af bløddelsstrukturer - tolkes således ikke som en under eller overeksponeret billede. Derfor mistanke om at den er generated. ";Scapula, ribs, vertebrae.
2;2;2;RAD-ChestCT-CROPPEDtrn08122.nii.gz.png;3;['Generated'];['None'];['Generated'];['None'];['Generated'];['Invalid'];som 1 og 2 - og dorsale dele af costae synes at være tydeligere fremstillede på vanligt rtg thorax;"Stærk ""Kontrast"" af skelettet og ganske svag kontrast af bløddelsstrukturer - tolkes således ikke som en under eller overeksponeret billede. Derfor mistanke om at den er generated. (samme som tidligere cases)";Ribs missing contours, vertebrae lower are weird/missing processes, ring artefact?
3;3;48;ImagEng-DRR-CROPPED22.png;4;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];som tidligere, plus noget af højre scapula er ikke med - rekonstrueret væk?;"Stærk ""Kontrast"" af skelettet og ganske svag kontrast af bløddelsstrukturer - tolkes således ikke som en under eller overeksponeret billede. Derfor mistanke om at den er generated. Samme som tidligere. HØjre scapula er væk - tolker at dette er ""genereret"" væk af et fejl. ";missing scapula right side, vertebrae too clearly visualized, rib shoadows missing (horisontal part)
4;4;50;padchest-normal-CROPPED0-248060958092118945326092297789105837_nr5hxr.png;5;['Real'];['None'];['Real'];['None'];['Real'];['Lung nodules'];No answer;No answer;No answer
5;5;44;ImagEng-DRR-CROPPED9.png;6;['Generated'];['Covid-19 lesions'];['Generated'];['Covid-19 lesions'];['Generated'];['Covid-19 lesions'];No answer;"Stærk ""Kontrast"" af skelettet og ganske svag kontrast af bløddelsstrukturer - tolkes således ikke som en under eller overeksponeret billede. Derfor mistanke om at den er generated. (samme";Same as previous with scapula, spine and ribs
6;6;33;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0438.png;7;['Generated'];['None'];['Generated'];['None'];['Real'];['None'];No answer;samme som tidligere forkalring. ;No answer
7;7;35;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0462.png;8;['Generated'];['None'];['Generated'];['None'];['Uncertain'];['None'];bølgende costae - bevægelse?;Samme som tidligere forklaring. Derudover er costae otroligt uregelmæssige i sin kontur. TOlkes også at være genererings fejl. ;Rib contrours seems strange. 
8;8;40;ImagEng-DRR-CROPPED26.png;9;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];"det ligner et rigtig godt rekonstrueret billede - men som de tidligere billeder ""blødere"" end vores alm rtg af thorax plejer at være ";smukkere en de tidligere genererede, men fortsat stor kontrast forskel i billedet;Same as previous with scapula, spine and ribs
9;9;27;LIDC-IDRI-XRAY-CROPPEDLIDC-IDRI-0037.png;10;['Real'];['Lung nodules'];['Real'];['Covid-19 lesions'];['Real'];['Covid-19 lesions'];"her meget ""skarpere"" tegning særligt af lungerne, som det plejer at se ud på rtg af thorax";No answer;No answer
10;10;24;LIDC-IDRI-XRAY-CROPPEDLIDC-IDRI-0012.png;11;['Real'];['Lung nodules'];['Real'];['Lung nodules'];['Real'];['Lung nodules'];No answer;No answer;No answer
11;11;53;padchest-normal-CROPPED0-5105602189339364278854995085355883146_1ja1l3.png;12;['Uncertain'];['None'];['Real'];['None'];['Real'];['Invalid'];No answer;Stor/adipøs patient. Derfor tolkes billedet at være undereksponeret,. Ingen sikker patologi. ;No answer
12;12;46;ImagEng-DRR-CROPPED19.png;13;['Generated'];['None'];['Generated'];['None'];['Generated'];['Invalid'];lineære artefarkter over nedre lungezoner - respiration/bevægelse fra CT? Desuden er colon transversum mærkeligt projiceret på en måde man ikke ser på rtg. ;"samme som tidligere , dog også ""bevægelse/respirations artefakter basalt hvor diafragma kuppelen kan ses (samme som man kan se på CT til tider, men aldrig på et RTG). ";There is an artifact going across the lower thorax region. Not movement as most of the structures are sharp. Double contour of right diaphragm which seems weird. Again vertebrae very clear. 
13;13;3;RAD-ChestCT-CROPPEDtrn10697.nii.gz.png;14;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];de genererede billeder laver noget meget skarpe interfaces på ukarakteristiske steder - fx azygoesophalage reces, descenderende aorta, de fremstår tydeligere end på rtg;samme som  tidligere,. Derudover forsvinder posteriore costae (helt medialt) ud i cyberspace :D  ;Ribs end blindly? Vertebrae still seems weird. You can see the facet joints on some levels and others are gone. 
14;14;26;LIDC-IDRI-XRAY-CROPPEDLIDC-IDRI-0023.png;15;['Real'];['None'];['Real'];['None'];['Real'];['None'];No answer;No answer;No answer
15;15;36;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0529.png;16;['Generated'];['None'];['Generated'];['None'];['Uncertain'];['None'];igen utydelige lungekar - meget tydeligere på den forudgående case med alm rtg thorax;samme som tidligere forklaring. Igen ses der også mærkelig kontur af costae. ;Rib contours
16;16;21;LIDC-IDRI-XRAY-CROPPEDLIDC-IDRI-0003.png;17;['Real'];['Lung nodules'];['Real'];['Lung nodules'];['Real'];['Lung nodules'];No answer;No answer;No answer
17;17;10;QaTa-COV19-CROPPEDcovid_432.png;18;['Real'];['Covid-19 lesions'];['Real'];['Covid-19 lesions'];['Real'];['Covid-19 lesions'];No answer;No answer;No answer
18;18;52;padchest-normal-CROPPED0-4378551502088567463362725870936911970_tcb27t.png;19;['Real'];['None'];['Real'];['None'];['Real'];['Covid-19 lesions'];No answer;No answer;No answer
19;19;19;QaTa-COV19-CROPPEDcovid_3350.png;20;['Real'];['Lung nodules'];['Real'];['Lung nodules'];['Real'];['None'];No answer;No answer;No answer
20;20;42;ImagEng-DRR-CROPPED2.png;21;['Generated'];['Covid-19 lesions'];['Generated'];['Covid-19 lesions'];['Generated'];['Covid-19 lesions'];No answer;samme som tidligere forkalring. ;No answer
21;21;56;padchest-normal-CROPPED0-7403781185427122576355927731625098374_2_c7t3d7.png;22;['Real'];['None'];['Real'];['None'];['Real'];['None'];Det er nogle mærkelige små mørke pletter der er overalt på billedet og et par lineære artefarkter over diafragmakuplerne - umiddelbart synes jeg det ligner et rigtigt rtg thorax, men jeg ved ikke hvor de beskrevne forandringer skulle komme fra;"Hvad er de små sorte prikker? De kan ses både ""over og under thorax delen"", helt klart ingen patologi. Ligner ikke de tidligere genererede billeder, så tolkes som et ægte billede, men usikkert hvad disse ""strukturer/artefakter"" skyldes. ";No answer
22;22;17;QaTa-COV19-CROPPEDcovid_3048.png;23;['Real'];['None'];['Real'];['None'];['Real'];['None'];No answer;No answer;No answer
23;23;31;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0308.png;24;['Generated'];['None'];['Generated'];['None'];['Uncertain'];['None'];ligner et CT scout. Igen mærkelig form på ribbenene.;samme som tidligere forkalring. ;The posterior ribs are visualized, but the scapula are strange and the ribs also have a wavy contour which also seems out of the ordinary. 
24;24;49;ImagEng-DRR-CROPPED23.png;25;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];No answer;"Oplagt genereret billede, samme forklaring som tidligere, dog endnu mere ""ekstremt"". ";Missing rib shadows, missing spine and scapula
25;25;32;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0376.png;26;['Generated'];['None'];['Real'];['None'];['Uncertain'];['None'];No answer;No answer;rib contours
26;26;47;ImagEng-DRR-CROPPED20.png;27;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];No answer;samme som tidligere forkalring. Costae forsvinder også ud i cyberspace. ;Rib contours vanishs
27;27;38;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0614.png;28;['Generated'];['Covid-19 lesions'];['Generated'];['None'];['Generated'];['None'];artefarkter over hjertet som ikke er karakteristiske for rtg;samme som tidligere forkalring. ;Heart has weird shadows on both sides?
28;28;55;padchest-normal-CROPPED0-6810211655893064695555157316210481137_ljor1h.png;29;['Real'];['None'];['Real'];['None'];['Real'];['None'];mærkelige pletter og tynde bånd der er på billedet;De sorte prikker er tilbage!!! Hvad er dette!??? (meget nysgerrig). Også nogle linjære strukturer der ses horizontalt basalt? ;No answer
29;29;13;QaTa-COV19-CROPPEDcovid_2103.png;30;['Real'];['None'];['Real'];['None'];['Real'];['Covid-19 lesions'];No answer;No answer;No answer
30;30;22;LIDC-IDRI-XRAY-CROPPEDLIDC-IDRI-0005.png;31;['Real'];['None'];['Real'];['None'];['Real'];['None'];No answer;No answer;No answer
31;31;51;padchest-normal-CROPPED0-2070190143987569143415140289105978581_bm1acz.png;32;['Real'];['None'];['Real'];['None'];['Real'];['Lung nodules'];No answer;No answer;No answer
32;32;30;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0140.png;33;['Generated'];['Lung nodules'];['Generated'];['Lung nodules'];['Generated'];['Lung nodules'];No answer;No answer;Three paired perfectly round bronchioles around the right hilar region, which seems odd. 
33;33;34;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0441.png;34;['Generated'];['None'];['Generated'];['None'];['Uncertain'];['None'];No answer;No answer;No answer
34;34;23;LIDC-IDRI-XRAY-CROPPEDLIDC-IDRI-0006.png;35;['Real'];['None'];['Real'];['Lung nodules'];['Real'];['Covid-19 lesions'];No answer;No answer;No answer
35;35;4;RAD-ChestCT-CROPPEDtrn15091.nii.gz.png;36;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];No answer;No answer;Ribs, weird shadows around the heart. Left/right humerus/scapula weird. 
36;36;14;QaTa-COV19-CROPPEDcovid_2263.png;37;['Real'];['Covid-19 lesions'];['Real'];['Lung nodules'];['Real'];['Lung nodules'];diskrete fortætninger højre lunge;No answer;No answer
37;37;29;LIDC-IDRI-XRAY-CROPPEDLIDC-IDRI-0042.png;38;['Real'];['None'];['Real'];['None'];['Real'];['None'];No answer;No answer;No answer
38;38;28;LIDC-IDRI-XRAY-CROPPEDLIDC-IDRI-0040.png;39;['Real'];['Covid-19 lesions'];['Real'];['Covid-19 lesions'];['Real'];['Covid-19 lesions'];No answer;No answer;No answer
39;39;54;padchest-normal-CROPPED0-6261939022105099592153359244059721911_1802dp.png;40;['Real'];['None'];['Real'];['None'];['Real'];['None'];No answer;No answer;No answer
40;40;58;padchest-normal-CROPPED0-10280409298348252172487231608795655424_7ngz8z.png;41;['Real'];['None'];['Real'];['None'];['Uncertain'];['None'];artefarkter, fra pladen?;mærkelige artefakter igen, men ligner et ægte billede. ;Most likely real image. THere are however some artefacts which I haven't seen before across the chest 
41;41;18;QaTa-COV19-CROPPEDcovid_3370.png;42;['Real'];['None'];['Real'];['Covid-19 lesions'];['Real'];['None'];No answer;No answer;No answer
42;42;59;padchest-normal-CROPPED0-11190357100443191189698731021285857705_888p1z.png;43;['Real'];['None'];['Real'];['None'];['Real'];['Lung nodules'];No answer;No answer;No answer
43;43;20;LIDC-IDRI-XRAY-CROPPEDLIDC-IDRI-0001.png;44;['Real'];['Lung nodules'];['Real'];['Lung nodules'];['Real'];['Lung nodules'];No answer;No answer;No answer
44;44;25;LIDC-IDRI-XRAY-CROPPEDLIDC-IDRI-0022.png;45;['Real'];['Lung nodules'];['Real'];['Both'];['Real'];['Lung nodules'];No answer;No answer;No answer
45;45;6;RAD-ChestCT-CROPPEDtrn22619.nii.gz.png;46;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];No answer;samme som tidligere forkalring. ;same issues as previously. Also image quality/spatial resolution is simply suboptimal
46;46;45;ImagEng-DRR-CROPPED17.png;47;['Generated'];['Covid-19 lesions'];['Generated'];['None'];['Generated'];['Covid-19 lesions'];mmmåske vagt infiltrat centralt i højre lunge;No answer;Interesting finding on the left diafragma. That is a classic respiration artefact on CT, which has been transferred to x-ray (which doesn't exist as image acquisition is immediate). 
47;47;7;RAD-ChestCT-CROPPEDval26619.nii.gz.png;48;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];No answer;No answer;Same issues as previously described with bones. 
48;48;57;padchest-normal-CROPPED0-8161426334719529053118992789748110569_6vjjlv.png;49;['Real'];['None'];['Real'];['Lung nodules'];['Real'];['None'];No answer;No answer;No answer
49;49;1;RAD-ChestCT-CROPPEDtrn06611.nii.gz.png;50;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];No answer;samme som tidligere forkalring. ;rib shadows missing. 
50;50;16;QaTa-COV19-CROPPEDcovid_2928.png;51;['Real'];['None'];['Real'];['Covid-19 lesions'];['Real'];['Covid-19 lesions'];No answer;No answer;No answer
51;51;0;RAD-ChestCT-CROPPEDtrn06542.nii.gz.png;52;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];No answer;No answer;Same issues as previous. This could also be an invalid x ray, because of image quality, but also that the tips of the apex are not visualized. 
52;52;15;QaTa-COV19-CROPPEDcovid_2299.png;53;['Real'];['Covid-19 lesions'];['Real'];['Covid-19 lesions'];['Real'];['Covid-19 lesions'];No answer;No answer;No answer
53;53;5;RAD-ChestCT-CROPPEDtrn17714.nii.gz.png;54;['Generated'];['Invalid'];['Generated'];['None'];['Generated'];['None'];aflange fortætninger over højre diafragmakuppel, svært at sige om de er i lungeparenkymet ;No answer;bones, strange densitis in the liver?
54;54;11;QaTa-COV19-CROPPEDcovid_1141.png;55;['Real'];['None'];['Real'];['None'];['Real'];['None'];No answer;No answer;No answer
55;55;9;RAD-ChestCT-CROPPEDval27360.nii.gz.png;56;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];No answer;samme som tidligere forkalring. ;Bones, big central opacity? Don't what that is. Quality again is suboptimal 
56;56;8;RAD-ChestCT-CROPPEDval26794.nii.gz.png;57;['Generated'];['None'];['Generated'];['None'];['Generated'];['Invalid'];No answer;No answer;Lacking sharpness in the image. Also the whole right side of the chest is covered with something? Which makes comparing the two lungs very difiicult
57;57;12;QaTa-COV19-CROPPEDcovid_1680.png;58;['Real'];['None'];['Real'];['None'];['Real'];['Covid-19 lesions'];No answer;No answer;No answer
58;58;43;ImagEng-DRR-CROPPED8.png;59;['Generated'];['Covid-19 lesions'];['Generated'];['None'];['Generated'];['None'];Eeehhh måske lille svagt tegnet infiltrat perifert i højre lunge;No answer;Quality is good, but the ribs gives it away. 
59;59;37;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0537.png;60;['Generated'];['None'];['Generated'];['None'];['Uncertain'];['None'];No answer;No answer;The rib contours are strange which makes me uncertain whether this is real or not. 
